run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	finger_sequence	fingseq	finger_sequence_01.tsv	3	0	27	0.000469799968414	1	0.0004725999897345	1.0		27.022357499983627
1	rest	rest	rest_01.tsv	3	27	42	27.028710399987176	1	27.02871350001078			42.00230699998792
1	action_observation	acva-acvk	action_observation_01.tsv	3	42	69	42.0087253000238	1	42.00872859999072			69.29367009998532
1	rest	rest	rest_01.tsv	3	69	84	69.29921560001094	1	69.29921909997938			84.0010882000206
1	demand_grid	dmgrd	demand_grid_01.tsv	3	84	111	84.00694220000878	1	84.00694559997646	0.3333333333333333	0.797979799991784	108.79140109999572
1	rest	rest	rest_01.tsv	3	111	126	111.00001509999856	2	10.997115600039251			126.00121329998365
1	pong	pong	pong_01.tsv	3	126	153	126.00761520001106	2	26.004715999995824	0.6666666666666666		152.53991880000103
2	action_observation	acva-acvk	action_observation_02.tsv	3	0	27	0.0005004000267945	1	0.0005038999952375			27.297656700015068
2	rest	rest	rest_02.tsv	3	27	42	27.303251400007863	1	27.30325440003071			42.001511999988
2	pong	pong	pong_02.tsv	3	42	69	42.00839720002841	1	42.00840029999381	1.0		68.54024130001199
2	rest	rest	rest_02.tsv	3	69	84	69.00001110002631	1	69.00001469999552			84.00115830003051
2	demand_grid	dmgrd	demand_grid_02.tsv	3	84	111	84.00740790000418	1	84.00741110002855	1.0	1.03552966665787	109.27077410003405
2	rest	rest	rest_02.tsv	3	111	126	111.00000649999129	2	10.996056400006635			126.00137630000243
2	finger_sequence	fingseq	finger_sequence_02.tsv	3	126	153	126.00750000000698	2	26.00354970002081	0.75		153.01893429999473
3	action_observation	acva-acvk	action_observation_03.tsv	3	0	27	0.0004786000354215	1	0.0004824000061489			27.29519209999125
3	rest	rest	rest_03.tsv	3	27	42	27.301546400005464	1	27.301549400028307			42.0013961000368
3	demand_grid	dmgrd	demand_grid_03.tsv	3	42	69	42.00795250001829	1	42.007956099987496	0.6666666666666666	0.453231100012393	66.60651160002453
3	rest	rest	rest_03.tsv	3	69	84	69.00001030002022	1	69.00001349998638			84.00133800000185
3	finger_sequence	fingseq	finger_sequence_03.tsv	3	84	111	84.00718870002311	1	84.00719159998698	1.0		111.01955680001991
3	rest	rest	rest_03.tsv	3	111	126	111.03125589998672	2	11.030522099987138			126.001224800013
3	pong	pong	pong_03.tsv	3	126	153	126.00768099998822	2	26.00694789999397	1.0		152.53681399999186
4	finger_sequence	fingseq	finger_sequence_04.tsv	3	0	27	0.0005240000318735838	1	0.0005275000003166497	0.9375		27.019749200029764
4	rest	rest	rest_04.tsv	3	27	42	27.02869050001027	1	27.028693700034637			42.001268699998036
4	demand_grid	dmgrd	demand_grid_04.tsv	3	42	69	42.007557600038126	1	42.00756120000733	1.0	0.713569000014104	66.68866600003093
4	rest	rest	rest_04.tsv	3	69	84	69.00001230003545	1	69.00001590000466			84.00105700001586
4	pong	pong	pong_04.tsv	3	84	111	84.00686520000454	1	84.00686860003043	0.8333333333333334		110.53839020000305
4	rest	rest	rest_04.tsv	3	111	126	111.00001250003697	1	111.00001660000999			126.00127170002088
4	action_observation	acva-acvk	action_observation_04.tsv	3	126	153	126.00787560001481	1	126.0078790000407			153.26761480001733
