run_num	key_left	key_right	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct
1	2	3	0	bimanual	3.5	0.5	False	(-0.3, -0.15)	0.0	4.0	129.00036479999835	77	0.0008644000045023	False
1	2	3	1	bimanual	3.5	0.5	False	(0.1, -0.15)	4.0	8.0	133.0000239000001	78	1.0005145000031916	True
1	2	3	2	bimanual	3.5	0.5	False	(0.6, -0.15)	8.0	12.0	137.0000235999978	81	0.4998672000001534	True
1	2	3	3	bimanual	3.5	0.5	False	(-0.4, -0.15)	12.0	16.0	141.00002159999713	84	0.0069216999982018	True
1	2	3	4	bimanual	3.5	0.5	False	(-0.3, -0.15)	16.0	20.0	145.00002200000017	86	0.999776100004965	True
1	2	3	5	bimanual	3.5	0.5	False	(-0.6, -0.15)	20.0	24.0	149.00002649999806	89	0.4990122000017436	True
2	2	3	0	bimanual	3.25	0.5	False	(-0.6, -0.15)	0.0	4.0	45.00034099999903	30	0.0011618999997153	True
2	2	3	1	bimanual	3.25	0.5	False	(-0.3, -0.15)	4.0	8.0	49.00003209999704	31	0.983912000003329	True
2	2	3	2	bimanual	3.25	0.5	False	(-0.3, -0.15)	8.0	12.0	53.000026399997296	34	0.5003271000023233	False
2	2	3	3	bimanual	3.25	0.5	False	(-0.3, -0.15)	12.0	16.0	57.000022599997465	37	0.0070712000015191	True
2	2	3	4	bimanual	3.25	0.5	False	(-0.3, -0.15)	16.0	20.0	61.000021599997126	39	0.998863299995719	True
2	2	3	5	bimanual	3.25	0.5	False	(-0.1, -0.15)	20.0	24.0	65.00002549999772	42	0.5027570000020205	True
3	2	3	0	bimanual	3.25	0.5	False	(-0.3, -0.15)	0.0	4.0	129.00036060000275	58	0.0009483000030741	False
3	2	3	1	bimanual	3.25	0.5	False	(0.6, -0.15)	4.0	8.0	133.00003840000136	59	1.0071316999965347	True
3	2	3	2	bimanual	3.25	0.5	False	(-0.1, -0.15)	8.0	12.0	137.00003540000034	62	0.5002733000001172	True
3	2	3	3	bimanual	3.25	0.5	False	(-0.6, -0.15)	12.0	16.0	141.00002710000263	65	0.0070963999969535	True
3	2	3	4	bimanual	3.25	0.5	False	(-0.6, -0.15)	16.0	20.0	145.0000246999989	67	0.9889007000019774	True
3	2	3	5	bimanual	3.25	0.5	False	(0.6, -0.15)	20.0	24.0	149.00002539999696	70	0.5075427000047057	True
4	2	3	0	bimanual	3.25	0.5	False	(-0.4, -0.15)	0.0	4.0	87.00036890000047	23	40.49870939999528	True
4	2	3	1	bimanual	3.25	0.5	False	(0.4, -0.15)	4.0	8.0	91.00002949999907	23	44.49837039999693	True
4	2	3	2	bimanual	3.25	0.5	False	(-0.3, -0.15)	8.0	12.0	95.00003139999899	23	48.498372299996845	True
4	2	3	3	bimanual	3.25	0.5	False	(-0.6, -0.15)	12.0	16.0	99.00002439999662	23	52.49836499999947	False
4	2	3	4	bimanual	3.25	0.5	False	(0.4, -0.15)	16.0	20.0	103.00013729999773	23	56.49847800000134	True
4	2	3	5	bimanual	3.25	0.5	False	(0.3, -0.15)	20.0	24.0	107.00003019999713	23	60.4983710000015	True
