run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	finger_sequence	fingseq	finger_sequence_01.tsv	3	0	27	0.0005110000201966	1	0.0005137000116519	0.9375		27.019952100003135
1	rest	rest	rest_01.tsv	3	27	42	27.026447200012623	12	4.398088299989468			42.00241900002584
1	action_observation	acva-acvk	action_observation_01.tsv	3	42	69	42.00948560002144	21	1.5034177000052296			71.3120480000216
1	rest	rest	rest_01.tsv	3	70	85	71.31732760000159	41	0.794210899999598			85.00115760002518
1	demand_grid	dmgrd	demand_grid_01.tsv	3	85	112	85.00695730000734	50	1.003355199994985	0.6666666666666666	1.144421400007559	110.03132300000289
1	rest	rest	rest_01.tsv	3	112	127	112.00001080002404	68	1.002589799987618			127.0012644000235
1	pong	pong	pong_01.tsv	3	127	154	127.0076777000213	78	1.0071258000098169	0.6666666666666666		153.54028390001622
2	action_observation	acva-acvk	action_observation_02.tsv	3	0	27	0.000749400001950562	1	0.0007521000225096941			29.164632800006075
2	rest	rest	rest_02.tsv	3	28	43	29.172331300011138	24	1.585477099986747			43.0011119999981
2	pong	pong	pong_02.tsv	3	43	70	43.006957400008105	35	1.0126677000080235	0.875		75.54017350001959
2	rest	rest	rest_02.tsv	3	70	85	75.55563200000324	59	3.5544922000262886			87.5782554000034
2	demand_grid	dmgrd	demand_grid_02.tsv	3	85	112	87.5851603000192	69	1.2000215000007302	1.0	0.742061499991299	109.98142769999686
2	rest	rest	rest_02.tsv	3	112	127	112.00001390001853	88	0.4119076000060886			127.00127310000244
2	finger_sequence	fingseq	finger_sequence_02.tsv	3	127	154	127.00807280000299	100	1.010359999985667	0.625		154.01932490000036
