run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	grid_size	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	2	3	right	1	0	right	(3, 3)	3	[(2, 2), (1, 0), (2, 1)]	[(2, 2), (1, 0), (2, 0)]	[(2, 2)]	[(1, 0)]	[(2, 1)]	False	7	4	3	1.5	0.0	8.5	87.00030750001315	1	87.0003097000299	3	0.9714689999818802	True
1	2	3	left	0	1	right	(3, 3)	3	[(0, 2), (0, 0), (1, 0)]	[(0, 2), (0, 0), (1, 1)]	[(0, 2)]	[(0, 0)]	[(1, 0)]	False	7	4	3	1.5	8.5	17.0	95.50002029992174	1	95.50002259993926	1	1.139880699920468	False
1	2	3	right	1	2	right	(3, 3)	3	[(1, 2), (2, 1), (1, 1)]	[(1, 2), (2, 1), (1, 0)]	[(1, 2)]	[(2, 1)]	[(1, 1)]	False	7	4	3	0.0	17.0	24.0	104.0000176000176	2	3.9881393999094144	3	1.349513199995272	True
2	2	3	left	0	0	right	(3, 3)	3	[(2, 0), (1, 0), (2, 2)]	[(2, 0), (1, 0), (2, 1)]	[(2, 0)]	[(1, 0)]	[(2, 2)]	False	7	4	3	1.5	0.0	8.5	87.00030630000401	1	87.00030899990816	2	1.279628699994646	True
2	2	3	left	0	1	right	(3, 3)	3	[(1, 0), (0, 1), (2, 0)]	[(1, 0), (0, 1), (2, 2)]	[(1, 0)]	[(0, 1)]	[(2, 0)]	False	7	4	3	1.5	8.5	17.0	95.50001899991184	1	95.50002149993088	2	1.059546499978751	True
2	2	3	right	1	2	right	(3, 3)	3	[(0, 0), (1, 2), (0, 2)]	[(0, 0), (1, 2), (0, 1)]	[(0, 0)]	[(1, 2)]	[(0, 2)]	False	7	4	3	0.0	17.0	24.0	104.00002029992174	2	3.986783899948932	3	1.4999600999290124	True
3	2	3	left	0	0	right	(3, 3)	3	[(1, 1), (0, 1), (2, 1)]	[(1, 1), (0, 1), (2, 2)]	[(1, 1)]	[(0, 1)]	[(2, 1)]	False	7	4	3	1.5	0.0	8.5	45.00036700000055	1	45.00036970002111	2	0.7413562000729144	True
3	2	3	right	1	1	right	(3, 3)	3	[(2, 0), (2, 2), (2, 1)]	[(2, 0), (2, 2), (0, 1)]	[(2, 0)]	[(2, 2)]	[(2, 1)]	False	7	4	3	1.5	8.5	17.0	53.50002790009603	1	53.50003070000093	3	0.5915955998934805	True
3	2	3	right	1	2	right	(3, 3)	3	[(0, 2), (2, 1), (2, 2)]	[(0, 2), (2, 1), (2, 0)]	[(0, 2)]	[(2, 1)]	[(2, 2)]	False	7	4	3	0.0	17.0	24.0	62.00002290005796	1	62.00002580008004	3	0.9830761000048368	True
4	2	3	left	0	0	right	(3, 3)	3	[(2, 0), (1, 1), (1, 2)]	[(2, 0), (1, 1), (2, 2)]	[(2, 0)]	[(1, 1)]	[(1, 2)]	False	7	4	3	1.5	0.0	8.5	45.0003692000173	1	45.000372000038624	2	0.8009313000366092	True
4	2	3	left	0	1	right	(3, 3)	3	[(0, 0), (1, 1), (1, 2)]	[(0, 0), (1, 1), (1, 0)]	[(0, 0)]	[(1, 1)]	[(1, 2)]	False	7	4	3	1.5	8.5	17.0	53.50003440002911	1	53.50003670004662	2	0.800205200095661	True
4	2	3	right	1	2	right	(3, 3)	3	[(1, 0), (2, 1), (2, 2)]	[(1, 0), (2, 1), (1, 2)]	[(1, 0)]	[(2, 1)]	[(2, 2)]	False	7	4	3	0.0	17.0	24.0	62.00004039995838	1	62.000042899977416	3	0.6929877999937162	True
