run_num	key_left	key_right	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct
1	2	3	0	bimanual	3.5	0.5	False	(-0.3, -0.15)	0.0	4.0	129.0003061000025	2	28.98842800001148	True
1	2	3	1	bimanual	3.5	0.5	False	(0.1, -0.15)	4.0	8.0	133.00002269994002	2	32.98814549995586	True
1	2	3	2	bimanual	3.5	0.5	False	(0.6, -0.15)	8.0	12.0	137.00002209993545	2	36.98814459994901	True
1	2	3	3	bimanual	3.5	0.5	False	(-0.4, -0.15)	12.0	16.0	141.00001930003054	2	40.98814169992693	True
1	2	3	4	bimanual	3.5	0.5	False	(-0.3, -0.15)	16.0	20.0	145.0000250999583	2	44.988147699972615	True
1	2	3	5	bimanual	3.5	0.5	False	(-0.6, -0.15)	20.0	24.0	149.00002309994306	2	48.98814589995891	True
2	2	3	0	bimanual	3.25	0.5	False	(-0.6, -0.15)	0.0	4.0	45.00039579998702	1	45.00039880000986	False
2	2	3	1	bimanual	3.25	0.5	False	(-0.3, -0.15)	4.0	8.0	49.000074599985965	1	49.00007680000272	True
2	2	3	2	bimanual	3.25	0.5	False	(-0.3, -0.15)	8.0	12.0	53.00007099995855	1	53.0000744999852	False
2	2	3	3	bimanual	3.25	0.5	False	(-0.3, -0.15)	12.0	16.0	57.00007099995855	1	57.00007359997835	True
2	2	3	4	bimanual	3.25	0.5	False	(-0.3, -0.15)	16.0	20.0	61.000074699986726	1	61.00007690000348	True
2	2	3	5	bimanual	3.25	0.5	False	(-0.1, -0.15)	20.0	24.0	65.00007589999586	1	65.00007859990001	True
3	2	3	0	bimanual	3.25	0.5	False	(-0.3, -0.15)	0.0	4.0	129.00031770009082	2	29.00510349997785	True
3	2	3	1	bimanual	3.25	0.5	False	(0.6, -0.15)	4.0	8.0	133.0000277000945	2	33.00481319997925	True
3	2	3	2	bimanual	3.25	0.5	False	(-0.1, -0.15)	8.0	12.0	137.00002750009298	2	37.00481289997697	True
3	2	3	3	bimanual	3.25	0.5	False	(-0.6, -0.15)	12.0	16.0	141.00002430006862	2	41.00481010007206	True
3	2	3	4	bimanual	3.25	0.5	False	(-0.6, -0.15)	16.0	20.0	145.000025400077	2	45.00481070007663	True
3	2	3	5	bimanual	3.25	0.5	False	(0.6, -0.15)	20.0	24.0	149.00002750009298	2	49.00481319997925	True
4	2	3	0	bimanual	3.25	0.5	False	(-0.4, -0.15)	0.0	4.0	87.00029979995452	1	87.0003021999728	True
4	2	3	1	bimanual	3.25	0.5	False	(0.4, -0.15)	4.0	8.0	91.00001930003054	1	91.0000220000511	False
4	2	3	2	bimanual	3.25	0.5	False	(-0.3, -0.15)	8.0	12.0	95.00002359994687	1	95.00002649996895	True
4	2	3	3	bimanual	3.25	0.5	False	(-0.6, -0.15)	12.0	16.0	99.00002030003816	1	99.00002269994002	True
4	2	3	4	bimanual	3.25	0.5	False	(0.4, -0.15)	16.0	20.0	103.0000215000473	1	103.0000237999484	True
4	2	3	5	bimanual	3.25	0.5	False	(0.3, -0.15)	20.0	24.0	107.00002140004653	1	107.00002519995905	False
