run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	finger_sequence	fingseq	finger_sequence_01.tsv	3	0	27	0.0004848999669775	1	0.0004881999921053	0.8125		27.019813199993223
1	rest	rest	rest_01.tsv	3	27	42	27.025614999991376	11	0.6281588000128977			42.00129360001301
1	action_observation	acva-acvk	action_observation_01.tsv	3	42	69	42.00813239999116	17	1.2050319000263698			71.38916089996928
1	rest	rest	rest_01.tsv	3	70	85	71.39506040001288	29	1.7920767999603413			85.00137519999407
1	demand_grid	dmgrd	demand_grid_01.tsv	3	85	112	85.00947140000062	35	1.013185300049372	0.6666666666666666	0.7219581000002412	109.70249609998427
1	rest	rest	rest_01.tsv	3	112	127	112.00000729999738	46	1.603626600001007			127.00112979998812
1	pong	pong	pong_01.tsv	3	127	154	127.0070340000093	52	2.1916951999883167	0.5		153.53806569997687
2	action_observation	acva-acvk	action_observation_02.tsv	3	0	27	0.0005615000263787	1	0.0005648999940603			29.2145263000275
2	rest	rest	rest_02.tsv	3	28	43	29.22143029997824	12	2.818386700004339			43.00111920002382
2	pong	pong	pong_02.tsv	3	43	70	43.00712730002124	17	2.194997999991756	0.625		75.51833110000007
2	rest	rest	rest_02.tsv	3	70	85	75.53368749999208	30	3.5069289000239223			87.56924599997001
2	demand_grid	dmgrd	demand_grid_02.tsv	3	85	112	87.5755622999859	35	1.174937600037083	1.0	0.7918243999981011	109.8684841999784
2	rest	rest	rest_02.tsv	3	112	127	112.00001439999323	45	1.5970254000276327			127.00111870002002
2	finger_sequence	fingseq	finger_sequence_02.tsv	3	127	154	127.00766569998814	51	2.2125341999926604	0.75		154.01849500002572
3	action_observation	acva-acvk	action_observation_03.tsv	3	0	27	0.0003781999694183	1	0.0003814999945461			29.13651530002244
3	rest	rest	rest_03.tsv	3	28	43	29.14354119997006	12	2.700841000012588			43.00120960001368
3	demand_grid	dmgrd	demand_grid_03.tsv	3	43	70	43.00810979999369	17	2.21433500002604	0.3333333333333333	0.7631049999811997	68.17541219998384
3	rest	rest	rest_03.tsv	3	70	85	70.00001860002521	29	0.4031645999639295			85.00110659998609
3	finger_sequence	fingseq	finger_sequence_03.tsv	3	85	112	85.00685100001283	35	1.0089406999759376	0.875		112.01765250001336
3	rest	rest	rest_03.tsv	3	112	127	112.02717319998192	45	4.034786899981555			127.00110120000318
3	pong	pong	pong_03.tsv	3	127	154	127.00729500001762	51	2.2112222999567166	0.625		159.53336599998875
4	finger_sequence	fingseq	finger_sequence_04.tsv	3	0	27	0.00034600001526996493	1	0.00034870003582909703	1.0		27.018992600031197
4	rest	rest	rest_04.tsv	3	27	42	27.025397500023246	12	0.6388489000382833			42.00112460000673
4	demand_grid	dmgrd	demand_grid_04.tsv	3	42	69	42.00706820003688	18	1.2129764999845065	1.0	0.6382030333431127	66.86838630004786
4	rest	rest	rest_04.tsv	3	69	84	69.00001710001379	29	1.8041346999816597			84.00145500001963
4	pong	pong	pong_04.tsv	3	84	111	84.00942410004791	36	0.023041300009936094	0.75		116.53490160004003
4	rest	rest	rest_04.tsv	3	111	126	116.55009220005013	48	3.7634975999826565			128.57195500005037
4	action_observation	acva-acvk	action_observation_04.tsv	3	126	154	128.57779710000614	53	1.3826850000186823			155.10654830001295
